boro_ct2010,Date,Time,Type
2022300,10/4/2017,12:46:00,PropertyCrime
3029900,4/17/2017,9:00:00,PropertyCrime
4012301,12/5/2017,19:15:00,PropertyCrime
4066000,11/7/2017,0:15:00,PropertyCrime
3016700,12/31/2017,7:00:00,PropertyCrime
1017200,1/22/2017,17:13:00,PropertyCrime
4027300,10/15/2017,9:00:00,PropertyCrime
2024100,9/4/2017,14:00:00,PropertyCrime
2027700,12/30/2017,11:00:00,PropertyCrime
4003400,12/19/2017,12:00:00,PropertyCrime
4097300,8/18/2017,0:00:00,PropertyCrime
2013100,3/13/2017,12:00:00,PropertyCrime
1024700,12/22/2017,21:00:00,PropertyCrime
3035400,10/6/2017,9:45:00,PropertyCrime
1010200,10/10/2017,0:01:00,PropertyCrime
4019000,12/31/2017,15:30:00,PropertyCrime
2040303,2/5/2017,0:00:00,PropertyCrime
1013500,12/31/2017,21:00:00,PropertyCrime
2000100,12/26/2017,8:08:00,PropertyCrime
2036501,9/1/2017,13:00:00,PropertyCrime
3048500,8/19/2017,1:30:00,PropertyCrime
4040700,10/25/2017,7:00:00,PropertyCrime
3088400,10/28/2017,0:01:00,PropertyCrime
1012500,7/20/2017,9:00:00,PropertyCrime
1019600,11/11/2017,10:00:00,PropertyCrime
1022900,8/1/2017,9:00:00,PropertyCrime
2006300,11/1/2017,8:00:00,PropertyCrime
1009400,12/19/2017,13:00:00,PropertyCrime
3047400,9/15/2017,12:00:00,PropertyCrime
2025200,6/5/2017,0:00:00,PropertyCrime
2036300,2/1/2017,8:00:00,PropertyCrime
1006500,11/25/2017,23:00:00,PropertyCrime
3059800,10/23/2017,0:01:00,PropertyCrime
4032900,9/1/2017,14:00:00,PropertyCrime
3091600,9/24/2017,14:30:00,PropertyCrime
3057300,9/18/2017,12:00:00,PropertyCrime
1026700,9/9/2017,18:00:00,PropertyCrime
4028400,7/16/2017,7:00:00,PropertyCrime
4030902,12/21/2017,10:00:00,PropertyCrime
2038900,5/24/2017,11:13:00,PropertyCrime
1000600,12/25/2017,19:14:00,PropertyCrime
3028100,10/18/2017,11:00:00,PropertyCrime
2046202,3/23/2017,19:00:00,PropertyCrime
3111600,2/23/2017,10:00:00,PropertyCrime
3092400,12/18/2017,10:00:00,PropertyCrime
3010100,6/26/2017,14:00:00,PropertyCrime
1016900,12/28/2017,6:00:00,PropertyCrime
4014000,12/28/2017,12:00:00,PropertyCrime
4152902,11/11/2017,0:01:00,PropertyCrime
3043300,10/20/2017,12:00:00,PropertyCrime
1009800,12/5/2017,21:00:00,PropertyCrime
2046202,10/26/2017,9:30:00,PropertyCrime
4042700,12/23/2017,9:00:00,PropertyCrime
4103202,12/31/2017,8:00:00,PropertyCrime
3019500,11/27/2017,12:00:00,PropertyCrime
1010100,10/7/2017,20:18:00,PropertyCrime
