OBJECTID,stop_frisk1_XYTableToPoint_S_2,stop_frisk1_XYTableToPoint_S_3,geo_export_267875c8_5ee9_4cb_13
10718,2017-04-14,15:37:00,4011500
10719,2017-04-14,15:24:00,4011500
10720,2017-04-15,12:55:00,4015900
10721,2017-04-15,16:29:00,4015500
10722,2017-04-16,13:25:00,4008700
10723,2017-04-16,13:25:00,4008700
10724,2017-04-14,20:35:00,4005900
10725,2017-04-19,22:55:00,4015900
10726,2017-04-19,15:30:00,4007900
10727,2017-04-15,17:55:00,4003100
10728,2017-04-23,3:30:00,4007100
10729,2017-04-22,1:14:00,4015500
10730,2017-04-26,17:35:00,4002500
10731,2017-04-29,13:50:00,4009100
10732,2017-05-04,3:53:00,4006501
10733,2017-05-04,16:37:00,4004700
10734,2017-04-04,16:34:00,4004700
10735,2017-05-06,0:45:00,4004300
10736,2017-05-10,22:50:00,4014700
10737,2017-05-10,21:20:00,4002500
10738,2017-05-10,12:17:00,4016300
10739,2017-05-12,12:54:00,4006501
10740,2017-05-12,23:22:00,4031700
10741,2017-05-13,8:43:00,4014300
10742,2017-05-15,18:00:00,4002500
10743,2017-05-16,13:43:00,4017100
10744,2017-05-16,13:43:00,4017100
10745,2017-05-16,18:30:00,4005900
10746,2017-05-18,12:45:00,4007300
10747,2017-05-05,18:55:00,4011100
10748,2017-05-05,18:55:00,4011100
10749,2017-05-11,17:35:00,4002500
10750,2017-05-20,3:10:00,4002500
10751,2017-05-20,3:10:00,4002500
10752,2017-05-20,4:15:00,4015500
10753,2017-05-17,17:05:00,4002500
10754,2017-05-05,18:55:00,4011100
10755,2017-05-21,3:47:00,4031700
10756,2017-05-20,22:05:00,4005700
10757,2017-05-21,19:15:00,4010300
10758,2017-05-21,22:10:00,4002500
10759,2017-05-21,22:10:00,4002500
10760,2017-05-23,13:50:00,4014100
10761,2017-05-23,13:50:00,4014100
10762,2017-05-23,15:04:00,4003300
10763,2017-05-24,23:10:00,4005700
10764,2017-05-21,22:09:00,4002500
10765,2017-05-25,20:27:00,4014900
10766,2017-05-26,14:50:00,4004700
10767,2017-05-28,13:20:00,4007500
10768,2017-05-30,15:45:00,4003700
10769,2017-05-28,3:32:00,4014700
10770,2017-06-07,10:20:00,4015500
10771,2017-06-02,16:30:00,4003900
10772,2017-06-10,16:40:00,4009100
10773,2017-06-13,9:10:00,4002500
10774,2017-06-14,23:11:00,4014100
10775,2017-06-14,23:11:00,4014100
10776,2017-06-14,23:11:00,4014100
10777,2017-06-15,8:40:00,4029500
10778,2017-06-17,17:33:00,4004700
10779,2017-06-18,3:18:00,4007700
10780,2017-06-18,3:20:00,4007700
10781,2017-06-02,16:10:00,4003900
10782,2017-06-14,15:15:00,4003900
10783,2017-06-07,19:00:00,4029500
10784,2017-06-28,16:30:00,4007900
10785,2017-06-28,5:15:00,4011100
10786,2017-06-28,5:15:00,4011100
10787,2017-06-28,5:15:00,4011100
10788,2017-06-28,5:15:00,4011100
10789,2017-06-27,21:40:00,4014700
10790,2017-06-30,19:35:00,4002500
10791,2017-06-27,21:40:00,4014700
10792,2017-07-05,0:10:00,4025500
10793,2017-07-14,20:34:00,4002500
10794,2017-07-15,6:05:00,4015500
10795,2017-07-16,2:31:00,4017100
10796,2017-07-17,9:50:00,4003300
10797,2017-07-17,13:23:00,4003700
10798,2017-07-17,20:50:00,4009900
10799,2017-07-17,20:50:00,4009900
10800,2017-07-21,0:40:00,4004700
10801,2017-07-21,21:40:00,4007900
10802,2017-07-23,16:20:00,4007100
10803,2017-07-29,3:20:00,4004700
10804,2017-07-30,20:32:00,4011300
10805,2017-07-30,20:32:00,4011300
10806,2017-07-30,20:32:00,4011300
10807,2017-08-01,2:30:00,4004300
10808,2017-08-02,3:36:00,4004700
10809,2017-08-02,21:35:00,4004500
10810,2017-08-03,2:26:00,4002500
10811,2017-08-03,2:26:00,4002500
10812,2017-08-03,2:26:00,4002500
10813,2017-08-03,17:05:00,4004700
10814,2017-08-01,21:55:00,4004300
10815,2017-08-02,17:30:00,4014700
10816,2017-08-04,21:30:00,4003900
10817,2017-08-03,16:30:00,4004500
10818,2017-08-06,3:45:00,4004300
10819,2017-08-05,6:35:00,4010500
10820,2017-08-05,6:35:00,4010500
10821,2017-08-08,16:20:00,4006501
10822,2017-08-09,15:30:00,4007900
10823,2017-08-09,17:45:00,4004500
10824,2017-08-11,0:49:00,4002500
10825,2017-08-11,16:43:00,4011500
10826,2017-08-10,21:45:00,4008500
10827,2017-08-05,17:00:00,4003300
10828,2017-08-15,4:30:00,4003100
10829,2017-08-12,19:30:00,4029500
10830,2017-08-16,20:15:00,4002500
10831,2017-08-17,22:57:00,4008500
10832,2017-08-20,16:40:00,4011500
10833,2017-08-23,20:08:00,4011300
10834,2017-08-12,21:15:00,4002500
10835,2017-08-26,8:55:00,4006502
10836,2017-08-27,1:22:00,4002500
10837,2017-08-27,6:13:00,4005300
10838,2017-08-29,11:52:00,4015500
10839,2017-08-24,21:30:00,4002500
10840,2017-08-16,16:20:00,4006501
10841,2017-08-24,20:55:00,4002500
10842,2017-08-11,21:10:00,4008700
10843,2017-08-30,20:35:00,4004700
10844,2017-09-01,6:00:00,4003100
10845,2017-09-02,16:45:00,4015100
10846,2017-09-02,16:45:00,4015100
10847,2017-09-02,16:45:00,4015100
10848,2017-09-05,23:05:00,4002500
10849,2017-09-06,23:50:00,4002500
10850,2017-09-09,4:15:00,4015500
10851,2017-09-14,0:45:00,4012100
10852,2017-09-14,0:45:00,4012100
10853,2017-09-14,21:47:00,4003300
10854,2017-09-14,21:30:00,4004500
10855,2017-09-17,17:59:00,4015500
10856,2017-09-20,21:30:00,4002500
10857,2017-09-20,21:30:00,4002500
10858,2017-09-21,0:50:00,4004700
10859,2017-09-22,4:05:00,4006100
10860,2017-09-25,15:35:00,4010300
10861,2017-09-14,21:48:00,4003300
10862,2017-09-16,17:00:00,4002500
10863,2017-09-26,14:30:00,4016300
10864,2017-09-26,14:30:00,4016300
10865,2017-09-26,14:30:00,4016300
10866,2017-09-26,14:30:00,4016300
10867,2017-09-26,14:30:00,4016300
10868,2017-09-16,17:00:00,4002500
10869,2017-09-27,17:00:00,4029500
10870,2017-10-01,0:02:00,4008700
10871,2017-10-02,14:40:00,4003700
10872,2017-09-17,6:22:00,4002500
