boro_ct2010,Date,Time,Type
3030700,6/23/2017,13:18:00,PersonalCrime
3111600,6/23/2017,4:40:00,PersonalCrime
3091800,6/23/2017,20:30:00,PersonalCrime
4044400,6/23/2017,2:18:00,PersonalCrime
2006300,6/23/2017,19:00:00,PersonalCrime
3052000,6/23/2017,6:45:00,PersonalCrime
3035000,6/23/2017,9:45:00,PersonalCrime
2004800,6/23/2017,12:15:00,PersonalCrime
3051602,6/23/2017,4:10:00,PersonalCrime
2025300,6/23/2017,21:13:00,PersonalCrime
5004000,6/23/2017,1:43:00,PersonalCrime
3115000,6/23/2017,4:28:00,PersonalCrime
2014400,6/23/2017,3:23:00,PersonalCrime
4036500,6/23/2017,16:15:00,PersonalCrime
3049500,6/23/2017,12:35:00,PersonalCrime
1018600,6/23/2017,16:15:00,PersonalCrime
4086500,6/23/2017,21:10:00,PersonalCrime
3031300,6/23/2017,14:00:00,PersonalCrime
1017900,6/23/2017,9:00:00,PersonalCrime
3030500,6/23/2017,2:25:00,PersonalCrime
2018500,6/23/2017,15:49:00,PersonalCrime
2007200,6/23/2017,16:00:00,PersonalCrime
1018600,6/23/2017,14:29:00,PersonalCrime
3017700,6/23/2017,20:00:00,PersonalCrime
2040302,6/23/2017,15:55:00,PersonalCrime
4025100,6/23/2017,23:50:00,PersonalCrime
2020900,6/23/2017,21:10:00,PersonalCrime
2005100,6/23/2017,14:06:00,PersonalCrime
3035200,6/23/2017,13:20:00,PersonalCrime
3028900,6/23/2017,18:15:00,PersonalCrime
2044200,6/23/2017,2:05:00,PersonalCrime
3090800,6/23/2017,11:49:00,PersonalCrime
2013300,6/23/2017,1:30:00,PersonalCrime
4004002,6/23/2017,22:20:00,PersonalCrime
2004800,6/23/2017,6:00:00,PersonalCrime
3052000,6/23/2017,6:45:00,PersonalCrime
5000300,6/23/2017,4:00:00,PersonalCrime
2012102,6/23/2017,0:45:00,PersonalCrime
3031500,6/23/2017,0:45:00,PersonalCrime
4027900,6/23/2017,13:40:00,PersonalCrime
3090000,6/23/2017,23:30:00,PersonalCrime
3088400,6/23/2017,10:47:00,PersonalCrime
3077200,6/23/2017,17:20:00,PersonalCrime
4116700,6/23/2017,3:24:00,PersonalCrime
3098600,6/23/2017,22:40:00,PersonalCrime
1017900,6/23/2017,9:00:00,PersonalCrime
1008200,6/23/2017,22:13:00,PersonalCrime
1021900,6/23/2017,3:15:00,PersonalCrime
3008500,6/23/2017,6:30:00,PersonalCrime
3023300,6/23/2017,15:00:00,PersonalCrime
4004002,6/23/2017,22:20:00,PersonalCrime
2006200,6/23/2017,1:00:00,PersonalCrime
4027000,6/23/2017,19:30:00,PersonalCrime
3028502,6/23/2017,13:15:00,PersonalCrime
4085700,6/23/2017,10:50:00,PersonalCrime
4032000,6/23/2017,14:40:00,PersonalCrime
3055400,6/23/2017,16:00:00,PersonalCrime
1019600,6/23/2017,10:55:00,PersonalCrime
1001200,6/23/2017,16:15:00,PersonalCrime
2016600,6/23/2017,2:05:00,PersonalCrime
1019000,6/23/2017,21:30:00,PersonalCrime
3098800,6/23/2017,19:06:00,PersonalCrime
3094402,6/23/2017,23:35:00,PersonalCrime
4120300,6/23/2017,14:45:00,PersonalCrime
4035100,6/23/2017,11:30:00,PersonalCrime
3002000,6/23/2017,2:55:00,PersonalCrime
1029100,6/23/2017,19:55:00,PersonalCrime
4079200,6/23/2017,15:15:00,PersonalCrime
1011900,6/23/2017,0:36:00,PersonalCrime
5000800,6/23/2017,21:00:00,PersonalCrime
1027300,6/23/2017,9:35:00,PersonalCrime
1018800,6/23/2017,22:00:00,PersonalCrime
1023000,6/23/2017,1:00:00,PersonalCrime
2004600,6/23/2017,19:30:00,PersonalCrime
2041500,6/23/2017,16:50:00,PersonalCrime
3057900,6/23/2017,15:05:00,PersonalCrime
1023300,6/23/2017,2:15:00,PersonalCrime
3055600,6/23/2017,14:15:00,PersonalCrime
2042400,6/23/2017,15:50:00,PersonalCrime
2016600,6/23/2017,23:40:00,PersonalCrime
1021900,6/23/2017,1:50:00,PersonalCrime
3038900,6/23/2017,23:00:00,PersonalCrime
1010900,6/23/2017,1:00:00,PersonalCrime
1026900,6/23/2017,0:01:00,PersonalCrime
4032000,6/23/2017,13:00:00,PersonalCrime
4026600,6/23/2017,8:00:00,PersonalCrime
2011900,6/23/2017,21:00:00,PersonalCrime
4037600,6/23/2017,12:55:00,PersonalCrime
2023900,6/23/2017,20:50:00,PersonalCrime
2012701,6/23/2017,16:00:00,PersonalCrime
3060800,6/23/2017,0:05:00,PersonalCrime
3057000,6/23/2017,20:45:00,PersonalCrime
3091000,6/23/2017,1:50:00,PersonalCrime
4036300,6/23/2017,18:00:00,PersonalCrime
3120800,6/23/2017,20:00:00,PersonalCrime
2013300,6/23/2017,1:33:00,PersonalCrime
2043100,6/23/2017,22:20:00,PersonalCrime
4025400,6/23/2017,23:07:00,PersonalCrime
3051602,6/23/2017,19:18:00,PersonalCrime
4004002,6/23/2017,22:33:00,PersonalCrime
5010500,6/23/2017,16:15:00,PersonalCrime
2012300,6/23/2017,18:15:00,PersonalCrime
3089600,6/23/2017,17:02:00,PersonalCrime
3088400,6/23/2017,10:47:00,PersonalCrime
4092900,6/24/2017,16:19:00,PersonalCrime
4024600,6/24/2017,4:55:00,PersonalCrime
4008700,6/24/2017,17:00:00,PersonalCrime
1009600,6/24/2017,2:45:00,PersonalCrime
3030700,6/24/2017,2:00:00,PersonalCrime
1021600,6/24/2017,7:15:00,PersonalCrime
2011700,6/24/2017,8:00:00,PersonalCrime
1004800,6/24/2017,22:25:00,PersonalCrime
2038600,6/24/2017,4:57:00,PersonalCrime
4014100,6/24/2017,2:30:00,PersonalCrime
1009400,6/24/2017,9:37:00,PersonalCrime
3038200,6/24/2017,11:41:00,PersonalCrime
2022500,6/24/2017,20:00:00,PersonalCrime
3110600,6/24/2017,6:15:00,PersonalCrime
2004600,6/24/2017,11:50:00,PersonalCrime
1020102,6/24/2017,23:00:00,PersonalCrime
4065400,6/24/2017,21:08:00,PersonalCrime
3025902,6/24/2017,14:15:00,PersonalCrime
3095800,6/24/2017,18:32:00,PersonalCrime
3087800,6/24/2017,15:00:00,PersonalCrime
4088400,6/24/2017,8:30:00,PersonalCrime
5002700,6/24/2017,8:00:00,PersonalCrime
2016600,6/24/2017,21:00:00,PersonalCrime
1022800,6/24/2017,13:30:00,PersonalCrime
2038700,6/24/2017,17:20:00,PersonalCrime
4009800,6/24/2017,13:35:00,PersonalCrime
1020102,6/24/2017,23:00:00,PersonalCrime
3030200,6/24/2017,20:00:00,PersonalCrime
3089600,6/24/2017,4:35:00,PersonalCrime
3076200,6/24/2017,23:18:00,PersonalCrime
3037300,6/24/2017,11:30:00,PersonalCrime
3085600,6/24/2017,15:00:00,PersonalCrime
