Census_Tracts,Time_Period,total
1022000,latenight,15
1022000,midday,7
1022000,morning,1
1022102,evening,11
1022102,latenight,2
1022102,midday,8
1022102,morning,1
1022200,evening,26
1022200,latenight,13
1022200,midday,20
1022200,morning,10
1022301,evening,11
1022301,latenight,9
1022301,midday,4
1022301,morning,7
1022302,evening,5
1022302,latenight,3
1022302,midday,1
1022302,morning,1
1022400,evening,20
1022400,latenight,13
1022400,midday,18
1022400,morning,7
1022500,evening,11
1022500,latenight,8
1022500,midday,9
1022500,morning,3
1022600,evening,25
1022600,latenight,14
1022600,midday,6
1022600,morning,5
1022700,evening,4
1022700,latenight,5
1022700,midday,5
1022700,morning,3
1022800,evening,29
1022800,latenight,30
1022800,midday,19
1022800,morning,19
1022900,evening,25
1022900,latenight,17
1022900,midday,6
1022900,morning,9
1023000,evening,18
1023000,latenight,17
1023000,midday,14
1023000,morning,13
1023100,evening,19
1023100,latenight,10
1023100,midday,4
1023100,morning,3
1023200,evening,19
1023200,latenight,27
1023200,midday,16
1023200,morning,6
1023300,evening,12
1023300,latenight,14
1023300,midday,2
1023300,morning,4
1023400,evening,8
1023400,latenight,8
1023400,midday,6
1023400,morning,2
1023501,evening,13
1023501,latenight,19
1023501,midday,12
1023501,morning,8
1023502,evening,16
1023502,latenight,12
1023502,midday,6
1023502,morning,5
1023600,evening,9
1023600,latenight,15
1023600,midday,7
1023600,morning,8
1023700,evening,15
1023700,latenight,10
1023700,midday,10
1023700,morning,4
1023801,evening,3
1023801,latenight,2
1023801,midday,2
1023801,morning,0
1023802,evening,3
1023802,latenight,1
1023802,midday,1
1023802,morning,1
1023900,evening,6
1023900,latenight,2
1023900,midday,4
1023900,morning,3
1024000,evening,15
1024000,latenight,16
1024000,midday,16
1024000,morning,10
1024100,evening,13
1024100,latenight,7
1024100,midday,17
1024100,morning,4
1024200,evening,23
1024200,latenight,16
1024200,midday,16
1024200,morning,8
1024301,evening,10
1024301,latenight,4
1024301,midday,3
1024301,morning,5
1024302,evening,20
1024302,latenight,16
1024302,midday,13
1024302,morning,11
1024500,evening,26
1024500,latenight,25
1024500,midday,18
1024500,morning,12
1024700,evening,4
1024700,latenight,9
1024700,midday,3
1024700,morning,6
1024900,evening,7
1024900,latenight,12
1024900,midday,2
1024900,morning,3
1025100,evening,20
1025100,latenight,9
1025100,midday,11
1025100,morning,7
1025300,evening,13
1025300,latenight,15
1025300,midday,13
1025300,morning,10
1025500,evening,6
1025500,latenight,4
1025500,midday,4
1025500,morning,3
1025700,evening,16
1025700,latenight,20
1025700,midday,6
1025700,morning,2
1025900,evening,11
1025900,latenight,19
1025900,midday,8
1025900,morning,7
1026100,evening,21
1026100,latenight,16
1026100,midday,10
1026100,morning,4
1026300,evening,12
1026300,latenight,15
1026300,midday,4
1026300,morning,9
1026500,evening,7
1026500,latenight,7
1026500,midday,2
1026500,morning,0
1026700,evening,2
1026700,latenight,0
1026700,midday,0
1026700,morning,0
1026900,evening,15
1026900,latenight,9
1026900,midday,6
1026900,morning,5
1027100,evening,20
1027100,latenight,19
1027100,midday,15
1027100,morning,15
1027300,evening,3
1027300,latenight,6
1027300,midday,4
1027300,morning,2
1027500,evening,1
1027500,latenight,2
1027500,midday,0
1027500,morning,1
1027700,evening,11
1027700,latenight,5
1027700,midday,8
1027700,morning,6
1027900,evening,13
1027900,latenight,17
1027900,midday,7
1027900,morning,7
1028100,evening,0
1028100,latenight,3
1028100,midday,1
1028100,morning,0
1028300,evening,5
1028300,latenight,3
1028300,midday,1
1028300,morning,3
1028500,evening,14
1028500,latenight,9
1028500,midday,5
1028500,morning,2
1028700,evening,11
1028700,latenight,6
1028700,midday,8
1028700,morning,3
1029100,evening,17
1029100,latenight,23
1029100,midday,10
1029100,morning,16
1029300,evening,23
1029300,latenight,27
1029300,midday,9
1029300,morning,31
1029500,evening,9
1029500,latenight,18
1029500,midday,1
1029500,morning,4
1029700,evening,6
1029700,latenight,3
1029700,midday,3
1029700,morning,2
1029900,evening,14
1029900,latenight,21
1029900,midday,4
1029900,morning,13
1030300,evening,4
1030300,latenight,12
1030300,midday,5
1030300,morning,6
1030700,evening,1
1030700,latenight,3
1030700,midday,1
1030700,morning,0
1030900,evening,13
1030900,latenight,12
1030900,midday,5
1030900,morning,8
1031100,evening,1
1031100,latenight,1
1031100,midday,0
1031100,morning,0
1031703,evening,1
1031703,latenight,0
1031703,midday,2
1031703,morning,0
1031704,evening,1
1031704,latenight,1
1031704,midday,0
1031704,morning,1
1031900,evening,0
1031900,latenight,0
1031900,midday,2
1031900,morning,0
2000100,evening,243
2000100,latenight,41
2000100,midday,264
2000100,morning,80
2000200,evening,2
2000200,latenight,1
2000200,midday,3
2000200,morning,2
2000400,evening,8
2000400,latenight,1
2000400,midday,4
2000400,morning,5
2001600,evening,5
2001600,latenight,6
2001600,midday,8
2001600,morning,0
2001900,evening,16
2001900,latenight,13
2001900,midday,13
2001900,morning,8
2002000,evening,32
2002000,latenight,14
2002000,midday,12
2002000,morning,11
2002300,evening,10
2002300,latenight,10
2002300,midday,7
2002300,morning,3
2002400,evening,1
2002400,latenight,0
2002400,midday,0
2002400,morning,0
2002500,evening,12
2002500,latenight,16
2002500,midday,9
2002500,morning,7
2002701,evening,8
2002701,latenight,9
2002701,midday,7
2002701,morning,8
2002702,evening,9
2002702,latenight,9
2002702,midday,8
2002702,morning,4
2002800,evening,5
2002800,latenight,7
2002800,midday,8
2002800,morning,6
2003100,evening,6
2003100,latenight,3
2003100,midday,0
2003100,morning,0
2003300,evening,16
2003300,latenight,15
2003300,midday,8
2003300,morning,8
2003500,evening,5
2003500,latenight,4
2003500,midday,9
2003500,morning,2
2003700,evening,2
2003700,latenight,3
2003700,midday,2
2003700,morning,5
2003800,evening,2
2003800,latenight,0
2003800,midday,2
2003800,morning,0
2003900,evening,56
2003900,latenight,47
2003900,midday,38
2003900,morning,26
2004001,evening,4
2004001,latenight,1
2004001,midday,1
2004001,morning,0
2004100,evening,23
2004100,latenight,24
2004100,midday,20
2004100,morning,18
2004200,evening,21
2004200,latenight,23
2004200,midday,14
2004200,morning,11
2004300,evening,38
2004300,latenight,44
2004300,midday,28
2004300,morning,21
2004400,evening,10
2004400,latenight,5
2004400,midday,9
2004400,morning,2
2004600,evening,30
2004600,latenight,34
2004600,midday,26
2004600,morning,13
2004800,evening,7
2004800,latenight,4
2004800,midday,4
2004800,morning,8
2005001,evening,14
2005001,latenight,9
2005001,midday,9
2005001,morning,3
2005002,evening,8
2005002,latenight,14
2005002,midday,4
2005002,morning,6
2005100,evening,27
2005100,latenight,32
2005100,midday,27
2005100,morning,17
2005200,evening,6
2005200,latenight,2
2005200,midday,2
2005200,morning,3
2005300,evening,15
2005300,latenight,12
2005300,midday,13
2005300,morning,7
2005400,evening,15
2005400,latenight,15
2005400,midday,5
2005400,morning,7
2005600,evening,7
2005600,latenight,7
2005600,midday,3
2005600,morning,4
2005902,evening,3
2005902,latenight,2
2005902,midday,2
2005902,morning,3
2006000,evening,3
2006000,latenight,2
2006000,midday,3
2006000,morning,2
2006100,evening,1
2006100,latenight,6
2006100,midday,1
2006100,morning,0
2006200,evening,23
2006200,latenight,21
2006200,midday,13
2006200,morning,9
2006300,evening,28
2006300,latenight,29
2006300,midday,24
2006300,morning,6
2006400,evening,3
2006400,latenight,1
2006400,midday,5
2006400,morning,3
2006500,evening,30
2006500,latenight,25
2006500,midday,52
2006500,morning,24
2006700,evening,17
2006700,latenight,25
2006700,midday,23
2006700,morning,11
2006800,evening,13
2006800,latenight,3
2006800,midday,12
2006800,morning,3
2006900,evening,31
2006900,latenight,30
2006900,midday,16
2006900,morning,6
2007000,evening,2
2007000,latenight,6
2007000,midday,9
2007000,morning,2
2007100,evening,22
2007100,latenight,12
2007100,midday,19
2007100,morning,13
2007200,evening,6
2007200,latenight,7
2007200,midday,3
2007200,morning,1
2007300,evening,16
2007300,latenight,18
2007300,midday,13
2007300,morning,9
2007400,evening,7
2007400,latenight,8
2007400,midday,2
2007400,morning,1
2007500,evening,24
2007500,latenight,20
2007500,midday,12
2007500,morning,11
2007600,evening,7
2007600,latenight,11
2007600,midday,5
2007600,morning,3
2007700,evening,12
2007700,latenight,10
2007700,midday,8
2007700,morning,10
2007800,evening,8
2007800,latenight,3
2007800,midday,9
2007800,morning,5
2007900,evening,14
2007900,latenight,19
2007900,midday,13
2007900,morning,5
2008300,evening,15
2008300,latenight,15
2008300,midday,9
2008300,morning,5
2008400,evening,0
2008400,latenight,1
2008400,midday,0
2008400,morning,0
2008500,evening,12
2008500,latenight,16
2008500,midday,13
2008500,morning,2
2008600,evening,6
2008600,latenight,6
2008600,midday,6
2008600,morning,2
2008700,evening,31
2008700,latenight,18
2008700,midday,17
2008700,morning,8
2008900,evening,19
2008900,latenight,24
2008900,midday,10
2008900,morning,7
2009000,evening,12
2009000,latenight,8
2009000,midday,9
2009000,morning,5
2009200,evening,4
2009200,latenight,9
2009200,midday,4
2009200,morning,2
2009300,evening,37
2009300,latenight,32
2009300,midday,23
2009300,morning,11
2009600,evening,3
2009600,latenight,1
2009600,midday,1
2009600,morning,1
2009800,evening,10
2009800,latenight,2
2009800,midday,7
2009800,morning,1
2011000,evening,3
2011000,latenight,1
2011000,midday,1
2011000,morning,0
2011502,evening,23
2011502,latenight,23
2011502,midday,15
2011502,morning,6
2011700,evening,4
2011700,latenight,6
2011700,midday,0
2011700,morning,6
2011800,evening,0
2011800,latenight,1
2011800,midday,0
2011800,morning,0
2011900,evening,15
2011900,latenight,20
2011900,midday,11
2011900,morning,11
2012101,evening,4
2012101,latenight,6
2012101,midday,4
2012101,morning,3
2012102,evening,2
2012102,latenight,2
2012102,midday,4
2012102,morning,1
2012300,evening,13
2012300,latenight,19
2012300,midday,7
2012300,morning,7
2012500,evening,12
2012500,latenight,15
2012500,midday,5
2012500,morning,2
2012701,evening,15
2012701,latenight,5
2012701,midday,10
2012701,morning,5
2012901,evening,19
2012901,latenight,17
2012901,midday,10
2012901,morning,9
2013000,evening,1
2013000,latenight,0
2013000,midday,0
2013000,morning,1
2013100,evening,18
2013100,latenight,18
2013100,midday,11
2013100,morning,9
2013200,evening,2
2013200,latenight,4
2013200,midday,1
2013200,morning,1
2013300,evening,22
2013300,latenight,31
2013300,midday,9
2013300,morning,3
2013500,evening,18
2013500,latenight,9
2013500,midday,8
2013500,morning,2
2013800,evening,1
2013800,latenight,2
2013800,midday,2
2013800,morning,0
2014100,evening,24
2014100,latenight,35
2014100,midday,13
2014100,morning,19
2014300,evening,7
2014300,latenight,3
2014300,midday,6
2014300,morning,4
2014400,evening,10
2014400,latenight,7
2014400,midday,5
2014400,morning,3
2014500,evening,11
2014500,latenight,18
2014500,midday,9
2014500,morning,10
2014701,evening,15
2014701,latenight,20
2014701,midday,5
2014701,morning,12
2014702,evening,9
2014702,latenight,10
2014702,midday,4
2014702,morning,1
2014900,evening,10
2014900,latenight,8
2014900,midday,9
2014900,morning,5
2015100,evening,17
2015100,latenight,17
2015100,midday,8
2015100,morning,9
2015200,evening,3
2015200,latenight,1
2015200,midday,3
2015200,morning,0
2015300,evening,11
2015300,latenight,9
2015300,midday,4
2015300,morning,5
2015500,evening,8
2015500,latenight,5
2015500,midday,3
2015500,morning,2
2015700,evening,14
2015700,latenight,18
2015700,midday,6
2015700,morning,9
2015800,evening,2
2015800,latenight,2
2015800,midday,0
2015800,morning,0
2015900,evening,13
2015900,latenight,11
2015900,midday,11
2015900,morning,5
2016000,evening,2
2016000,latenight,1
2016000,midday,0
2016000,morning,2
2016100,evening,19
2016100,latenight,15
2016100,midday,11
2016100,morning,4
2016200,evening,3
2016200,latenight,3
2016200,midday,1
2016200,morning,1
2016300,evening,12
2016300,latenight,4
