Census_Tracts,Time_Period,total
1026500,midday,22
1026500,morning,20
1026700,evening,5
1026700,latenight,3
1026700,midday,3
1026700,morning,2
1026900,evening,28
1026900,latenight,20
1026900,midday,22
1026900,morning,14
1027100,evening,57
1027100,latenight,37
1027100,midday,49
1027100,morning,31
1027300,evening,39
1027300,latenight,10
1027300,midday,26
1027300,morning,24
1027500,evening,4
1027500,latenight,2
1027500,midday,5
1027500,morning,2
1027700,evening,17
1027700,latenight,9
1027700,midday,14
1027700,morning,9
1027900,evening,43
1027900,latenight,25
1027900,midday,25
1027900,morning,23
1028100,evening,7
1028100,latenight,4
1028100,midday,11
1028100,morning,17
1028300,evening,13
1028300,latenight,11
1028300,midday,11
1028300,morning,12
1028500,evening,19
1028500,latenight,13
1028500,midday,24
1028500,morning,13
1028700,evening,19
1028700,latenight,12
1028700,midday,12
1028700,morning,12
1029100,evening,38
1029100,latenight,34
1029100,midday,35
1029100,morning,30
1029300,evening,24
1029300,latenight,36
1029300,midday,35
1029300,morning,18
1029500,evening,19
1029500,latenight,16
1029500,midday,18
1029500,morning,16
1029700,evening,13
1029700,latenight,10
1029700,midday,8
1029700,morning,8
1029900,evening,16
1029900,latenight,25
1029900,midday,20
1029900,morning,17
1030300,evening,19
1030300,latenight,26
1030300,midday,24
1030300,morning,18
1030700,evening,5
1030700,latenight,3
1030700,midday,9
1030700,morning,5
1030900,evening,36
1030900,latenight,13
1030900,midday,22
1030900,morning,17
1031100,evening,10
1031100,latenight,2
1031100,midday,2
1031100,morning,0
1031703,evening,26
1031703,latenight,6
1031703,midday,19
1031703,morning,5
1031704,evening,37
1031704,latenight,6
1031704,midday,25
1031704,morning,11
1031900,evening,3
1031900,latenight,3
1031900,midday,3
1031900,morning,0
2000100,evening,10
2000100,latenight,3
2000100,midday,8
2000100,morning,6
2000200,evening,15
2000200,latenight,6
2000200,midday,10
2000200,morning,3
2000400,evening,12
2000400,latenight,11
2000400,midday,13
2000400,morning,10
2001600,evening,17
2001600,latenight,7
2001600,midday,11
2001600,morning,7
2001900,evening,43
2001900,latenight,32
2001900,midday,37
2001900,morning,23
2002000,evening,25
2002000,latenight,17
2002000,midday,26
2002000,morning,13
2002300,evening,10
2002300,latenight,20
2002300,midday,11
2002300,morning,13
2002400,evening,1
2002400,latenight,0
2002400,midday,1
2002400,morning,2
2002500,evening,25
2002500,latenight,9
2002500,midday,9
2002500,morning,14
2002701,evening,7
2002701,latenight,6
2002701,midday,9
2002701,morning,5
2002702,evening,18
2002702,latenight,15
2002702,midday,15
2002702,morning,15
2002800,evening,23
2002800,latenight,13
2002800,midday,16
2002800,morning,9
2003100,evening,10
2003100,latenight,5
2003100,midday,4
2003100,morning,3
2003300,evening,12
2003300,latenight,8
2003300,midday,13
2003300,morning,5
2003500,evening,13
2003500,latenight,15
2003500,midday,10
2003500,morning,7
2003700,evening,5
2003700,latenight,4
2003700,midday,2
2003700,morning,1
2003800,evening,6
2003800,latenight,3
2003800,midday,7
2003800,morning,1
2003900,evening,60
2003900,latenight,46
2003900,midday,53
2003900,morning,26
2004001,evening,13
2004001,latenight,1
2004001,midday,4
2004001,morning,3
2004100,evening,35
2004100,latenight,17
