Census_Tracts,Time_Period,total
1027900,latenight,42
1027900,midday,32
1027900,morning,30
1028100,evening,7
1028100,latenight,7
1028100,midday,12
1028100,morning,17
1028300,evening,18
1028300,latenight,14
1028300,midday,12
1028300,morning,15
1028500,evening,33
1028500,latenight,22
1028500,midday,29
1028500,morning,15
1028700,evening,30
1028700,latenight,18
1028700,midday,20
1028700,morning,15
1029100,evening,55
1029100,latenight,57
1029100,midday,45
1029100,morning,46
1029300,evening,47
1029300,latenight,63
1029300,midday,44
1029300,morning,49
1029500,evening,28
1029500,latenight,34
1029500,midday,19
1029500,morning,20
1029700,evening,19
1029700,latenight,13
1029700,midday,11
1029700,morning,10
1029900,evening,30
1029900,latenight,46
1029900,midday,24
1029900,morning,30
1030300,evening,23
1030300,latenight,38
1030300,midday,29
1030300,morning,24
1030700,evening,6
1030700,latenight,6
1030700,midday,10
1030700,morning,5
1030900,evening,49
1030900,latenight,25
1030900,midday,27
1030900,morning,25
1031100,evening,11
1031100,latenight,3
1031100,midday,2
1031100,morning,0
1031703,evening,27
1031703,latenight,6
1031703,midday,21
1031703,morning,5
1031704,evening,38
1031704,latenight,7
1031704,midday,25
1031704,morning,12
1031900,evening,3
1031900,latenight,3
1031900,midday,5
1031900,morning,0
2000100,evening,253
2000100,latenight,44
2000100,midday,272
2000100,morning,86
2000200,evening,17
2000200,latenight,7
2000200,midday,13
2000200,morning,5
2000400,evening,20
2000400,latenight,12
2000400,midday,17
2000400,morning,15
2001600,evening,22
2001600,latenight,13
2001600,midday,19
2001600,morning,7
2001900,evening,59
2001900,latenight,45
2001900,midday,50
2001900,morning,31
2002000,evening,57
2002000,latenight,31
2002000,midday,38
2002000,morning,24
2002300,evening,20
2002300,latenight,30
2002300,midday,18
2002300,morning,16
2002400,evening,2
2002400,latenight,0
2002400,midday,1
2002400,morning,2
2002500,evening,37
2002500,latenight,25
2002500,midday,18
2002500,morning,21
2002701,evening,15
2002701,latenight,15
2002701,midday,16
2002701,morning,13
2002702,evening,27
2002702,latenight,24
2002702,midday,23
2002702,morning,19
2002800,evening,28
2002800,latenight,20
2002800,midday,24
2002800,morning,15
2003100,evening,16
2003100,latenight,8
2003100,midday,4
2003100,morning,3
2003300,evening,28
2003300,latenight,23
2003300,midday,21
2003300,morning,13
2003500,evening,18
2003500,latenight,19
2003500,midday,19
2003500,morning,9
2003700,evening,7
2003700,latenight,7
2003700,midday,4
2003700,morning,6
2003800,evening,8
2003800,latenight,3
2003800,midday,9
2003800,morning,1
2003900,evening,116
2003900,latenight,93
2003900,midday,91
2003900,morning,52
2004001,evening,17
2004001,latenight,2
2004001,midday,5
2004001,morning,3
2004100,evening,58
2004100,latenight,41
2004100,midday,45
2004100,morning,37
2004200,evening,61
2004200,latenight,42
2004200,midday,58
2004200,morning,29
2004300,evening,64
2004300,latenight,72
2004300,midday,60
2004300,morning,40
2004400,evening,25
2004400,latenight,16
2004400,midday,22
2004400,morning,7
2004600,evening,55
2004600,latenight,55
2004600,midday,43
2004600,morning,29
2004800,evening,20
2004800,latenight,16
2004800,midday,11
2004800,morning,13
2005001,evening,26
2005001,latenight,17
2005001,midday,24
2005001,morning,8
2005002,evening,18
2005002,latenight,29
2005002,midday,12
2005002,morning,17
2005100,evening,64
2005100,latenight,71
2005100,midday,73
2005100,morning,46
2005200,evening,20
2005200,latenight,19
2005200,midday,10
2005200,morning,12
2005300,evening,27
2005300,latenight,22
2005300,midday,29
2005300,morning,10
2005400,evening,37
2005400,latenight,38
2005400,midday,31
2005400,morning,35
2005600,evening,27
2005600,latenight,17
2005600,midday,16
2005600,morning,10
2005902,evening,15
2005902,latenight,8
2005902,midday,7
2005902,morning,10
2006000,evening,10
2006000,latenight,3
2006000,midday,5
2006000,morning,4
2006100,evening,5
2006100,latenight,12
2006100,midday,10
2006100,morning,5
2006200,evening,57
2006200,latenight,47
2006200,midday,37
2006200,morning,22
2006300,evening,106
2006300,latenight,68
2006300,midday,98
2006300,morning,46
2006400,evening,17
2006400,latenight,9
2006400,midday,16
2006400,morning,9
2006500,evening,165
2006500,latenight,82
2006500,midday,210
2006500,morning,97
2006700,evening,40
2006700,latenight,54
2006700,midday,58
2006700,morning,21
2006800,evening,30
2006800,latenight,21
2006800,midday,18
2006800,morning,8
2006900,evening,60
2006900,latenight,54
2006900,midday,37
2006900,morning,20
2007000,evening,22
2007000,latenight,24
2007000,midday,21
2007000,morning,11
2007100,evening,70
2007100,latenight,35
2007100,midday,57
2007100,morning,36
2007200,evening,19
2007200,latenight,14
2007200,midday,17
2007200,morning,7
2007300,evening,35
2007300,latenight,29
2007300,midday,36
2007300,morning,18
2007400,evening,17
2007400,latenight,21
2007400,midday,11
2007400,morning,6
2007500,evening,63
2007500,latenight,39
2007500,midday,29
2007500,morning,22
2007600,evening,34
2007600,latenight,35
2007600,midday,25
2007600,morning,13
2007700,evening,42
2007700,latenight,26
2007700,midday,28
2007700,morning,23
2007800,evening,21
2007800,latenight,20
2007800,midday,24
2007800,morning,11
2007900,evening,35
2007900,latenight,41
2007900,midday,35
2007900,morning,19
2008300,evening,37
2008300,latenight,35
2008300,midday,23
2008300,morning,11
2008400,evening,4
2008400,latenight,3
2008400,midday,4
2008400,morning,1
2008500,evening,33
2008500,latenight,29
2008500,midday,25
2008500,morning,9
2008600,evening,21
2008600,latenight,15
2008600,midday,13
2008600,morning,6
2008700,evening,53
2008700,latenight,26
2008700,midday,31
2008700,morning,22
2008900,evening,37
2008900,latenight,42
2008900,midday,28
2008900,morning,15
2009000,evening,48
2009000,latenight,23
2009000,midday,41
2009000,morning,17
2009200,evening,16
2009200,latenight,23
2009200,midday,21
2009200,morning,14
2009300,evening,69
